in_url,end_url,title,domain,first_appearance,last_appearance,appearance_duration_seconds
https://apple.news/AqxuY-EfjROGgypw4XD5d4Q,https://abcnews.go.com/US/largest-cocaine-seizure-york-quarter-century/story?id=61605548,Largest cocaine seizure in New York in 25 years found in fruit crates,abcnews.go.com,2019-03-12 00:40:12,2019-03-12 08:40:11,28799
https://apple.news/AMv42YmWgSH6xGPZ1zTPIqA,https://www.washingtonpost.com/politics/medicare-for-all-v-medicare-for-less-trumps-proposed-cuts-put-health-care-at-center-of-2020-race/2019/03/11/87e9dae2-4424-11e9-8aab-95b8d80a1e4f_story.html,Medicare-for-all vs. Medicare-for-less: Trumpâs proposed cuts put health care at center of 2020 race,washingtonpost.com,2019-03-12 00:40:12,2019-03-12 14:20:11,49199
https://apple.news/A-vcNMmZfRk-JI8jzQyjrQg,https://www.nytimes.com/2019/03/11/us/nra-video-streaming-nratv.html,Incendiary N.R.A. videos find new critics: N.R.A. leaders	,nytimes.com,2019-03-12 00:40:12,2019-03-12 08:40:11,28799
https://apple.news/AJIf8_GE5RKCZFj4Be7GwmQ,https://www.nbcnews.com/news/us-news/major-u-s-airlines-also-fly-new-type-boeing-jet-n981771,FAA says U.S. airlines can still fly Boeing jet involved in 2 crashes less than 6 months apart,nbcnews.com,2019-03-12 00:40:12,2019-03-12 08:40:11,28799
https://apple.news/Aux1QkKmdRsyf5m8clahU8w,http://www.reuters.com/article/2019/03/11/us-venezuela-politics-water-idUSKBN1QS2SN?utm_source=applenews,Desperate Venezuelans swarm sewage drains in search of water,reuters.com,2019-03-12 00:40:12,2019-03-12 08:40:11,28799
https://apple.news/AmnFctxEtT4Kk5FaijEhnXg,https://people.com/movies/amber-heard-recalls-coming-out-religious-parents/,Amber Heard Recalls Coming Out to Her Religious Parents: They Couldn’t ‘Process’ It,people.com,2019-03-12 05:40:11,2019-03-12 05:40:11,0
https://apple.news/Afl9eN1WHQmu8LkGWZtVR-A,https://www.foxnews.com/us/new-jersey-police-reportedly-shoot-kill-bull-attacking-owner-after-it-attacks-patrol-vehicle,"New Jersey police shoot, kill bull attacking owner after it pounced on patrol vehicle: report",foxnews.com,2019-03-12 05:40:11,2019-03-12 05:40:11,0
https://apple.news/A_s175zNvTh25fwpeoL8spA,http://www.businessinsider.com/ivanka-trump-jared-kushner-air-force-flights-state-department-2019-3,"Ivanka Trump and Jared Kushner were repeatedly rejected when they tried to fly on Air Force planes, so they found a workaround",businessinsider.com,2019-03-12 05:40:11,2019-03-12 05:40:11,0
https://apple.news/AEm_n0r2-SNCHvdM-xbLilA,https://www.buzzfeednews.com/article/gabrielsanchez/venezuela-massive-blackouts-power-photos,These pictures show just how severe Venezuela's blackouts are,buzzfeednews.com,2019-03-12 08:45:13,2019-03-12 14:20:11,20098
https://apple.news/A6ohUs9EmQVSKbYHvOXQrIw,https://www.nbcnews.com/news/north-korea/u-n-investigating-suspected-north-korean-arms-dealers-iran-n982016,UN investigating suspected North Korean arms dealers in Iran,nbcnews.com,2019-03-12 08:45:13,2019-03-12 10:55:11,7798
https://apple.news/A2cTiXuQNTKCpTvoxjZm_4Q,https://www.bloomberg.com/news/articles/2019-03-12/aeromexico-becomes-latest-to-ground-the-737-max-boeing-update?utm_campaign=news&utm_medium=bd&utm_source=applenews,"Australia, Singapore Ground Boeingâs 737 Max Planes",bloomberg.com,2019-03-12 08:45:13,2019-03-12 12:25:11,13198
https://apple.news/A2frzQwCWQmeQIC05D4Ycgg,https://www.npr.org/sections/health-shots/2019/03/11/702348935/study-finds-racial-gap-between-who-causes-air-pollution-and-who-breathes-it,"There's a racial gap between who causes air pollution and who breathes it, study finds",npr.org,2019-03-12 08:45:13,2019-03-12 14:20:11,20098
https://apple.news/Ac-C6IwR8RIqoNCPNOxfpaA,http://www.espn.com/chalk/story/_/id/26173974/how-fanduel-bookmaking-mistake-shook-world-competitive-gelato-making,"18 seconds and $56,000: How a bookmaker's typo changed this gelato maker's life",espn.com,2019-03-12 11:00:11,2019-03-12 14:20:11,12000
https://apple.news/ApC2wyarPRlGPRF6XgvLOtw,https://www.cnn.com/2019/03/12/africa/airlines-suspend-boeing-flights-intl/index.html,US and Canada are the only two nations still flying many Boeing 737 Max planes,cnn.com,2019-03-12 12:30:12,2019-03-12 14:20:11,6599
https://apple.news/AQSiphZYCSXuFL2mKvM6obA,https://www.nationalgeographic.com/science/2019/03/hobbit-humans-story-gets-twist-from-thousands-of-rat-bones/,"âHobbitâ human story gets a twist, thanks to thousands of rat bones",nationalgeographic.com,2019-03-12 14:25:12,2019-03-12 18:30:11,14699
https://apple.news/AT_UjiVR3TyyF32QHGfJuxg,https://www.nbcnews.com/news/us-news/feds-uncover-massive-college-entrance-exam-cheating-plot-n982136,Hollywood actresses among dozens charged in college entrance exam cheating plot,nbcnews.com,2019-03-12 14:25:12,2019-03-12 20:10:11,20699
https://apple.news/AfTKCDqWZRQSMu6NKqQUB3A,https://www.wsj.com/articles/groundings-of-boeing-737-max-8-jets-spread-after-ethiopian-crash-11552372423,More Boeing 737 MAX Jets Are Idled in Wake of Crash,wsj.com,2019-03-12 14:25:12,2019-03-12 16:00:12,5700
https://apple.news/ALPCE7JQqT7WR0EZk31KbDQ,https://qz.com/1570359/nighttime-urination-costs-the-economy-billions-of-dollars/,Frequent trips to the bathroom at night cost the global economy billions of dollars,qz.com,2019-03-12 14:25:12,2019-03-12 20:10:11,20699
https://apple.news/AnRECxPVfRGuSwJ7BvoMXfg,https://khn.org/news/medieval-diseases-flare-as-unsanitary-living-conditions-proliferate/,Medieval diseases are resurging in California â and hitting the homeless especially hard,khn.org,2019-03-12 14:25:12,2019-03-17 16:30:11,439499
https://apple.news/AArkwXgGjSXWHgODXsiTldg,https://www.nytimes.com/2019/03/12/business/boeing-737-grounding-faa.html,U.S. holds back as Europe and others ground Boeing 737 Max 8s,nytimes.com,2019-03-12 16:05:12,2019-03-12 20:10:11,14699
https://apple.news/AfAA_Qo3lQgWOP-_1ha-TaA,https://www.bbc.co.uk/news/world-47542925,Parliament rejected Theresa Mayâs Brexit plan. Whatâs next?,bbc.co.uk,2019-03-12 18:35:12,2019-03-13 00:05:12,19800
https://apple.news/AV-Lb0IYtSzKzGodhoapUKA,https://www.cnn.com/2019/03/12/business/boeing-max-737-grounding/index.html,The world is grounding 737 Max 8 planes. Why isn't Boeing?,cnn.com,2019-03-12 20:15:11,2019-03-13 00:05:12,13801
https://apple.news/Ap0RJYJhZRTaKxVs9WCCg1A,http://www.latimes.com/local/lanow/la-me-college-admissions-scale-elite-schools-20190312-story.html,"College admissions scandal snares actresses, CEOs and coaches; alleged mastermind pleads guilty",latimes.com,2019-03-12 20:15:11,2019-03-13 00:05:12,13801
https://apple.news/A4RX66lHzTt-3Uc1wer2Ryw,https://www.npr.org/2019/03/12/702606542/paul-manafort-after-receiving-47-month-sentence-to-learn-punishment-in-d-c-case,"Manafort back in court Wednesday for second sentencing, faces up to 10 years",npr.org,2019-03-12 20:15:11,2019-03-13 00:05:12,13801
https://apple.news/AmnQTd9w8RyiUWcuM1HDBFw,https://gizmodo.com/unopened-lunar-samples-from-apollo-missions-will-finall-1833230063,"50 years later, precious moon samples will finally be opened",gizmodo.com,2019-03-12 20:15:11,2019-03-13 00:05:12,13801
https://apple.news/A0iXLZ4HtT1aZiCUA4ScDrw,https://www.cbssports.com/nfl/news/odell-beckham-jr-traded-from-giants-to-browns-in-league-shifting-offseason-blockbuster/?ftag=SPM-16-10abi8d,Odell Beckham Jr. traded from Giants to Browns in league-shifting offseason blockbuster,cbssports.com,2019-03-13 00:15:12,2019-03-13 08:55:13,31201
https://apple.news/AygKCi4dMR6OLpKKFSjIQ5g,https://www.wsj.com/articles/the-man-behind-the-alleged-25-million-college-admissions-cheating-scandal-11552422678,The Man Behind the Alleged $25 Million College-Admissions Cheating Scandal,wsj.com,2019-03-13 00:15:12,2019-03-13 08:55:13,31201
https://apple.news/AKoXLfOwCRVSdFVp6IHR_Ow,https://www.washingtonpost.com/local/trafficandcommuting/european-aviation-officials-break-with-faa-and-boeing-and-ground-737-max-8-aircraft-involved-in-crash/2019/03/12/cd64a8d0-44d4-11e9-90f0-0ccfeec87a61_story.html,"FAA stands by its call not to ground Boeing 737 Max, as global counterparts have done",washingtonpost.com,2019-03-13 00:15:12,2019-03-13 03:20:13,11101
https://apple.news/AJ46w0AUmTGC2vUEDwh7O1w,https://www.nbcnews.com/news/religion/cardinal-george-pell-sentenced-6-years-prison-child-sex-abuse-n982331,"Cardinal Pell, most senior Catholic cleric convicted of child sex abuse, sentenced to 6 years",nbcnews.com,2019-03-13 00:15:12,2019-03-13 08:55:13,31201
https://apple.news/A6QseKSI0RL6Q8QgU4iwmXg,https://www.usatoday.com/story/news/politics/2019/03/12/pentagon-transgender-policy-put-into-effect-bars-some-serving/3144526002/,Pentagon's transgender policy will ban those who require treatment for gender dysphoria,usatoday.com,2019-03-13 00:15:12,2019-03-13 08:55:13,31201
https://apple.news/AJLZ6hGsPRy2_C0c6tjxJLw,https://www.sacbee.com/news/politics-government/capitol-alert/article227489844.html,"âIneffective, irreversible and immoral:â Gavin Newsom halts death penalty for 737 inmates",sacbee.com,2019-03-13 03:25:11,2019-03-13 13:35:13,36602
https://apple.news/AyOmAO6ubS_23tZTm4eJ6CA,https://www.politico.com/story/2019/03/13/paul-manafort-sentencing-1219274?cid=apn,Manafort sentence reaches 7.5 years in Mueller case,politico.com,2019-03-13 09:00:11,2019-03-13 13:35:13,16502
https://apple.news/AK6FIggVkTO-d2B0KxPNrLg,https://www.popsci.com/legal-to-eat-roadkill,Freeway-to-table? These states want to make roadkill the next big food trend,popsci.com,2019-03-13 09:00:11,2019-03-13 13:35:13,16502
https://apple.news/ABlW1oxrjT2SxFGE46DE8Nw,https://www.nbcnews.com/news/us-news/alleged-mastermind-cheating-scandal-involving-lori-laughlin-wore-wire-expose-n982421,"He masterminded the college-exam scandal, then wore a wire to expose it",nbcnews.com,2019-03-13 09:00:11,2019-03-13 13:35:13,16502
https://apple.news/Aq0Fyx6_9TEKSc_D6RR_UaQ,https://www.cnn.com/2019/03/13/us/winter-storm-blizzard-wednesday-wxc/index.html,"70 million in path of winter âbomb cycloneâ set to bring snow, hail, and rain to central U.S.",cnn.com,2019-03-13 09:00:11,2019-03-13 13:35:13,16502
https://apple.news/A103bwhsjRHGuXqCa-sua2w,https://www.wsj.com/articles/pilot-of-crashed-ethiopian-airlines-jet-reported-flight-control-problems-11552473593,U.S. Grounds Boeing 737 MAX Jets,wsj.com,2019-03-13 13:40:11,2019-03-13 19:40:12,21601
https://apple.news/AhOoJtBEnSkKSjt4-wr4HEA,https://www.washingtonpost.com/local/legal-issues/paul-manafort-faces-sentencing-in-washington-in-mueller-special-counsel-case/2019/03/12/d4d55dd4-44d0-11e9-aaf8-4512a6fe3439_story.html,Paul Manafort sentenced to total of 7.5 years in prison for conspiracy and fraud,washingtonpost.com,2019-03-13 13:40:11,2019-03-13 17:10:12,12601
https://apple.news/ALR_HlQYtTXq-dwm_BNteUg,http://www.latimes.com/local/lanow/la-me-college-admissions-fraud-scheme-20190313-story.html,How the largest college admissions scandal ever let wealthy parents cheat the system,latimes.com,2019-03-13 13:40:11,2019-03-13 19:40:12,21601
